"batch.scrambled","consignment.scrambled","country.export.scrambled","country.harvest.scrambled","tonnage","year.scrambled","numPos"
938,2573,1,4,NA,1,0
939,2276,3,1,17,1,0
940,1524,4,3,14,4,0
941,1631,5,7,NA,3,0
942,842,3,6,16,3,0
943,1407,5,7,16,3,0
944,1547,2,5,16,3,0
945,2516,5,7,15,3,0
946,601,5,8,2,4,0
947,663,2,5,10,1,0
948,1920,5,7,8,1,0
949,1695,2,5,18,1,0
950,96,2,5,15,1,0
951,2156,1,4,14,2,0
952,925,2,5,20,1,0
953,2132,2,5,15,1,0
954,486,5,7,8,3,0
955,853,4,3,14,1,0
956,828,2,5,17,1,0
957,1629,4,3,17,2,0
958,2538,2,5,12,1,0
959,7,5,7,15,2,0
960,2397,5,7,13,4,0
961,1785,5,7,6,3,0
962,1722,5,7,6,3,0
963,2310,5,7,7,2,0
964,2252,4,3,17,3,0
965,672,4,3,6,4,0
966,2444,5,7,7,3,0
967,778,5,7,14,3,0
968,921,3,8,6,1,0
969,2090,5,7,16,4,0
970,428,5,7,18,3,0
971,1805,4,6,6,2,0
972,2311,4,3,6,4,0
973,1964,2,5,15,2,0
974,462,3,6,11,4,0
975,1827,5,7,15,3,0
976,209,2,3,18,2,0
977,2392,3,6,8,1,0
978,2508,5,7,18,4,0
979,1991,4,3,14,1,0
980,1086,5,7,18,4,0
981,2336,2,5,8,4,0
982,1377,3,8,NA,2,0
983,2020,5,7,8,4,0
984,2223,3,6,14,4,0
985,2034,5,7,18,3,0
986,12,2,5,18,1,0
987,2031,5,8,6,4,0
988,2534,5,7,18,3,0
989,507,4,3,12,2,0
990,2150,5,7,2,3,0
991,111,2,5,12,4,0
992,1378,1,4,7,1,0
993,1472,5,7,6,4,0
994,392,5,7,13,3,0
995,265,2,6,18,4,0
996,1206,3,6,16,3,0
997,1656,4,3,15,2,0
998,356,3,8,6,4,0
999,1162,2,5,19,2,0
1000,1031,5,7,15,3,0
1001,357,4,6,6,1,0
1002,103,3,1,15,2,0
1003,1942,5,7,18,1,0
1004,1449,5,7,11,2,0
1005,765,5,7,8,4,0
1006,2463,2,5,14,2,0
1007,1546,5,7,6,2,0
1008,1905,5,6,6,2,0
1009,2570,5,7,18,3,0
1010,1481,3,1,16,1,0
1011,2530,5,7,18,3,0
1012,56,3,6,17,1,0
1013,2475,4,3,20,1,0
1014,401,5,7,8,4,0
1015,629,5,7,8,4,0
1016,916,2,5,20,1,0
1017,1816,2,5,20,2,0
1018,1811,5,7,14,4,0
1019,2079,5,6,16,1,0
1020,1715,5,7,16,3,0
1021,2107,2,5,14,2,0
1022,1825,5,6,NA,1,0
1023,1294,3,1,16,2,0
1024,80,5,7,0,2,0
1025,52,4,3,14,3,0
1026,2380,5,7,6,2,0
1027,606,5,7,18,2,0
1028,2267,5,7,15,3,0
1029,2006,2,5,16,2,0
1030,946,1,4,NA,1,0
1031,2285,5,7,8,3,0
1032,723,4,3,17,2,0
1033,1893,4,6,NA,2,0
1034,1940,5,7,8,4,0
1035,1386,1,4,7,1,0
1036,1926,2,5,7,4,0
1037,2229,2,5,17,2,0
1038,1880,2,1,18,1,0
1039,569,5,8,17,1,0
1040,1019,3,1,16,1,2
1041,1215,4,3,17,2,0
1042,349,2,6,6,3,0
1043,2390,5,7,18,3,0
1044,290,5,7,14,4,0
1045,1759,2,6,13,1,0
1046,1690,5,7,18,3,0
1047,20,2,5,15,3,0
1048,741,2,5,18,2,0
1049,391,3,1,16,2,0
1050,2233,5,7,16,3,0
1051,1887,2,5,17,4,0
1052,317,5,8,NA,1,0
1053,1529,5,7,7,3,0
1054,1280,5,7,8,2,0
1055,1392,5,6,18,2,0
1056,337,5,7,10,4,0
1057,2446,2,6,13,1,0
1058,488,5,7,8,2,0
1059,1304,4,3,17,2,0
1060,60,5,7,16,3,0
1061,458,5,7,8,3,0
1062,2066,5,7,17,2,0
1063,823,5,7,15,2,0
1064,693,3,1,15,2,0
1065,2662,5,8,13,4,0
1066,2013,5,6,8,1,0
1067,205,2,5,18,2,0
1068,1,5,7,8,3,0
1069,2260,2,5,13,2,0
1070,1509,2,5,7,1,0
1071,2014,5,7,6,3,0
1072,1579,2,5,3,1,0
1073,534,4,3,19,4,0
1074,583,5,7,7,3,0
1075,889,1,4,NA,1,0
1076,1309,2,8,18,1,0
1077,235,3,8,6,3,0
1078,1259,5,7,13,2,0
1079,966,5,7,12,4,0
1080,2416,3,8,2,2,0
1081,291,5,7,18,3,0
1082,1682,4,3,19,2,0
1083,1113,2,8,18,2,0
1084,498,5,7,8,1,0
1085,1358,4,3,6,2,0
1086,1457,5,7,18,3,0
1087,1246,5,7,8,3,0
1088,1270,2,5,7,1,0
1089,66,5,7,16,3,0
1090,709,5,7,16,4,0
1091,1072,5,7,8,4,0
1092,452,5,7,5,3,0
1093,961,5,7,16,3,0
1094,1424,2,6,9,1,0
1095,1462,3,8,5,1,0
1096,2607,5,7,8,3,0
1097,632,2,2,14,4,0
1098,2227,3,8,6,4,0
1099,1321,4,6,NA,1,0
1100,1307,5,7,13,1,0
1101,581,5,6,17,2,0
1102,794,2,6,14,4,0
1103,305,5,7,18,3,0
1104,1178,2,6,15,3,0
1105,2621,5,7,17,4,0
1106,643,2,5,16,4,0
1107,133,5,7,16,4,0
1108,1984,5,7,18,3,0
1109,1864,5,7,6,3,0
1110,1194,5,7,13,4,0
1111,554,2,5,7,4,0
1112,1135,2,5,15,2,0
1113,2312,4,3,19,1,0
1114,1364,5,7,8,3,0
1115,436,2,5,4,1,1
1116,663,2,5,6,1,0
1117,2137,2,5,7,1,0
1118,1626,5,7,NA,3,0
1119,221,5,7,5,3,0
1120,2626,4,6,9,3,0
1121,1187,3,6,1,3,0
1122,714,5,7,16,3,0
1123,1480,5,7,14,3,0
1124,2123,5,7,8,3,0
1125,325,3,1,13,4,0
1126,1099,2,5,8,4,0
1127,2501,5,7,7,4,0
1128,2531,5,7,8,2,0
1129,1366,5,7,18,4,0
1130,1625,5,7,18,3,0
1131,2094,3,6,11,3,0
1132,835,5,7,16,4,0
1133,1071,5,8,13,3,0
1134,2135,3,1,10,1,0
1135,978,2,5,17,2,0
1136,1085,2,2,14,2,0
1137,368,2,5,8,2,0
1138,1073,2,5,18,2,0
1139,1319,2,5,20,2,0
1140,1700,2,5,18,2,0
1141,1158,5,7,7,3,0
1142,1156,4,3,19,1,0
1143,2280,5,7,17,3,0
1144,2035,2,5,16,3,0
1145,1406,5,7,2,3,0
1146,1018,5,7,8,3,0
1147,266,2,5,2,1,0
1148,55,5,7,13,3,0
1149,1161,2,5,6,4,0
1150,2047,3,6,11,3,0
1151,304,5,7,16,3,0
1152,1404,4,6,8,1,0
1153,572,3,1,16,2,0
1154,1594,5,7,11,4,0
1155,64,5,8,20,2,0
1156,664,5,7,18,4,0
1157,710,5,8,14,2,0
1158,2000,5,7,14,3,0
1159,516,3,1,13,2,0
1160,728,2,5,4,2,0
1161,1133,5,7,17,2,0
1162,1743,5,7,13,4,0
1163,1993,5,7,15,3,0
1164,1157,5,7,11,4,0
1165,287,4,6,11,1,0
1166,1192,5,7,18,3,0
1167,1865,5,7,18,1,0
1168,2082,1,4,11,1,0
1169,1141,2,8,18,2,0
1170,829,2,5,10,2,0
1171,1517,2,5,15,1,0
1172,1493,3,6,13,4,0
1173,696,5,7,16,3,0
1174,380,5,7,NA,3,0
1175,2028,3,1,15,2,0
1176,1312,3,8,6,1,0
1177,1606,5,7,8,3,0
1178,102,5,8,1,1,0
1179,126,3,1,10,2,0
1180,323,5,7,6,4,0
1181,466,2,5,17,4,0
1182,2174,5,7,15,3,0
1183,1045,5,7,18,4,0
1184,1602,5,7,18,4,0
1185,1533,5,7,8,3,0
1186,449,4,3,17,3,0
1187,1800,2,5,16,4,0
1188,113,2,5,12,1,0
1189,43,5,7,8,1,0
1190,2454,5,7,8,3,0
1191,2198,3,8,10,2,0
1192,946,1,4,7,1,0
1193,746,2,5,2,1,0
1194,628,5,7,18,3,0
1195,2616,5,6,18,1,0
1196,1272,4,3,17,4,0
1197,1921,5,8,13,3,0
1198,430,2,5,9,1,0
1199,1011,5,7,8,2,0
1200,1089,2,5,12,2,0
1201,1537,3,8,12,3,0
1202,1387,2,5,18,4,0
1203,1174,5,7,8,4,0
1204,2341,4,3,17,2,0
1205,959,5,7,17,3,0
1206,1760,2,5,15,3,0
1207,2674,4,3,17,3,0
1208,2228,3,6,11,4,0
1209,2510,4,3,17,4,0
1210,139,2,5,6,1,0
1211,1200,5,8,14,1,0
1212,1075,5,7,8,1,0
1213,1918,5,7,20,2,10
1214,1751,5,7,17,3,0
1215,2179,5,6,16,2,0
1216,1278,5,8,8,1,0
1217,1923,2,5,18,2,0
1218,1532,2,5,18,1,0
1219,545,5,7,7,4,0
1220,2138,2,5,9,4,0
1221,1912,5,7,18,3,0
1222,1183,5,8,8,1,0
1223,653,5,7,15,3,0
1224,2497,5,7,16,3,0
1225,2049,2,5,7,4,0
1226,911,5,8,16,3,0
1227,711,5,7,15,4,0
1228,1861,4,6,14,2,0
1229,640,2,5,15,2,0
1230,2376,2,5,11,2,0
1231,1744,2,5,13,2,0
1232,1487,3,1,7,4,0
1233,570,5,7,6,4,0
1234,1252,4,3,16,4,0
1235,849,2,5,12,2,0
1236,1716,2,5,18,3,0
1237,259,5,7,8,4,0
1238,575,5,7,14,3,0
1239,2631,5,8,6,2,0
1240,1554,4,3,15,2,0
1241,1352,2,5,17,2,0
1242,1047,4,3,12,1,0
1243,1712,5,7,8,2,0
1244,1488,5,7,4,3,0
1245,472,5,7,8,3,0
1246,1291,3,8,12,1,0
1247,1223,5,7,13,3,0
1248,1427,3,6,11,4,0
1249,1787,3,8,8,4,0
1250,2468,5,7,14,3,0
1251,1428,4,3,15,2,0
1252,340,4,3,20,1,0
1253,1467,5,7,7,3,0
1254,1420,2,5,18,1,0
1255,2555,1,4,10,3,0
1256,1650,2,5,12,2,0
1257,2329,5,8,17,3,0
1258,365,3,6,11,3,0
1259,1305,5,7,10,4,0
1260,733,5,7,8,2,0
1261,2559,2,5,17,1,0
1262,2270,4,3,18,3,0
1263,992,3,8,5,3,0
1264,2175,5,7,8,3,0
1265,275,4,3,17,2,0
1266,2269,5,7,14,3,0
1267,473,3,1,14,2,0
1268,1367,3,1,2,1,0
1269,425,2,5,18,2,0
1270,1603,5,7,16,2,0
1271,2582,5,7,11,4,0
1272,1601,3,6,17,1,0
1273,551,5,7,18,4,0
1274,2632,2,5,15,4,0
1275,1835,5,8,6,4,0
1276,372,2,5,NA,1,0
1277,562,2,2,NA,2,0
1278,83,2,5,11,4,0
1279,917,4,3,17,4,0
1280,2456,2,6,13,1,0
1281,2077,2,5,7,2,0
1282,757,5,7,7,3,0
1283,1728,5,7,6,3,0
1284,1494,2,5,6,1,0
1285,2284,5,6,NA,2,0
1286,886,3,1,10,2,0
1287,44,4,3,19,4,0
1288,272,4,3,18,2,0
1289,1059,3,6,17,1,0
1290,1563,5,8,6,2,0
1291,35,5,7,8,4,0
1292,1938,5,7,NA,3,0
1293,2344,2,5,14,2,0
1294,1609,5,7,18,3,0
1295,1904,5,7,14,3,0
1296,185,5,7,NA,3,0
1297,702,2,5,NA,1,0
1298,1953,2,5,18,2,0
1299,1754,5,6,7,2,0
1300,542,3,8,6,4,0
1301,1256,5,7,11,2,0
1302,1954,2,5,18,4,0
1303,620,5,7,8,3,0
1304,180,5,7,18,3,0
1305,1061,5,7,9,2,0
1306,450,5,8,4,3,0
1307,1323,4,3,17,3,0
1308,1462,3,8,13,1,0
1309,1393,5,6,16,2,0
1310,2427,3,6,17,1,0
1311,228,2,5,18,2,0
1312,341,2,5,20,1,0
1313,1409,2,5,NA,2,0
1314,2481,5,7,14,4,0
1315,1152,4,3,17,3,0
1316,703,5,7,8,2,0
1317,1790,5,6,16,1,0
1318,1972,5,7,12,2,0
1319,2142,4,3,8,4,0
1320,2279,4,6,NA,2,0
1321,1450,5,7,13,4,0
1322,1939,5,6,18,2,0
1323,2376,2,5,4,2,0
1324,2358,5,8,7,1,0
1325,631,2,5,NA,1,0
1326,2472,2,5,14,3,0
1327,1808,5,7,8,3,0
1328,2459,5,7,7,3,0
1329,2194,4,3,6,2,0
1330,1057,2,5,13,2,0
1331,2550,5,8,18,3,0
1332,2317,2,5,8,1,0
1333,2278,5,6,17,2,0
1334,2606,5,7,17,3,0
1335,2042,2,5,18,2,0
1336,2539,3,8,6,1,0
1337,1030,5,7,16,3,0
1338,907,2,7,17,2,0
1339,8,5,7,8,4,0
1340,1931,2,2,14,4,0
1341,623,3,8,5,3,0
1342,1303,5,7,4,4,0
1343,1689,5,7,15,4,0
1344,2070,5,7,18,4,0
1345,1446,3,8,NA,1,0
1346,2143,2,5,15,2,0
1347,547,4,3,17,1,0
1348,1123,4,3,10,1,0
1349,1891,5,7,6,4,0
1350,556,5,7,13,3,0
1351,1368,5,7,14,4,0
1352,1505,5,6,20,1,0
1353,1868,5,7,3,3,0
1354,1395,5,7,14,3,0
1355,1584,5,7,9,2,0
1356,898,5,7,9,4,0
1357,1883,5,7,18,3,0
1358,981,3,1,8,2,0
1359,951,2,5,NA,2,0
1360,1932,2,5,18,2,0
1361,1731,5,7,8,3,0
1362,1375,3,8,15,3,0
1363,1195,3,8,8,1,0
1364,2379,5,7,7,2,0
1365,2617,2,5,18,2,0
1366,2251,2,5,8,2,0
1367,1512,5,7,7,3,0
1368,708,2,8,18,1,0
1369,1565,3,6,17,1,0
1370,2368,3,8,6,1,0
1371,624,2,5,16,4,0
1372,2483,5,7,15,2,0
1373,960,5,7,6,3,0
1374,2057,2,6,8,2,0
1375,997,4,3,NA,3,0
1376,440,2,5,18,1,0
1377,1341,2,5,17,1,9
1378,866,5,8,14,1,0
1379,2300,2,4,14,4,0
1380,923,1,4,NA,1,0
1381,1381,5,7,7,3,0
1382,2482,2,5,17,2,0
1383,57,2,5,12,4,0
1384,461,2,5,15,2,0
1385,942,5,7,8,2,0
1386,1957,4,6,2,1,0
1387,279,3,1,14,2,0
1388,746,2,5,14,1,0
1389,2103,3,8,6,1,0
1390,374,2,5,7,4,0
1391,1068,2,5,18,1,0
1392,2101,2,4,12,2,0
1393,1362,5,7,8,3,0
1394,446,3,8,5,3,0
1395,199,3,6,17,1,0
1396,4,3,1,5,1,2
1397,1581,5,7,8,3,0
1398,2201,5,7,8,2,0
1399,2221,5,7,3,3,0
1400,2015,5,7,15,4,0
1401,1741,5,7,14,3,0
1402,2192,5,8,14,2,0
1403,1034,5,7,6,4,0
1404,1101,5,7,13,3,0
1405,2147,2,5,17,4,0
1406,2102,5,7,18,4,0
1407,2598,5,7,NA,3,0
1408,567,4,6,6,4,0
1409,166,4,3,18,1,0
1410,2133,5,7,8,4,0
1411,2403,3,8,10,4,0
1412,1934,5,7,17,3,0
1413,2608,2,8,18,4,0
1414,346,3,6,14,2,0
1415,589,2,5,17,4,0
1416,2238,5,8,11,2,0
1417,1758,4,3,18,2,0
1418,239,2,6,18,4,0
1419,801,5,7,17,3,0
1420,608,4,3,8,4,0
1421,702,2,5,18,1,0
1422,1151,2,5,17,2,0
1423,17,2,3,NA,2,0
1424,588,2,5,17,3,0
1425,999,2,5,18,2,0
1426,1595,5,7,15,3,0
1427,474,5,7,14,4,0
1428,1756,4,3,17,2,0
1429,1732,5,7,9,4,0
1430,2130,2,5,17,2,0
1431,2128,2,5,15,2,0
1432,1412,5,7,15,3,0
1433,2650,4,3,16,3,0
1434,967,2,5,14,1,0
1435,2139,5,7,14,3,0
1436,352,5,7,8,3,0
1437,1602,5,7,18,4,0
1438,1104,5,8,13,3,0
1439,1255,5,7,8,4,0
1440,537,5,6,17,2,0
1441,2099,3,6,11,3,0
1442,754,2,5,6,1,0
1443,1593,5,7,7,4,0
1444,2046,5,7,15,4,0
1445,2571,4,3,17,3,0
1446,972,2,5,16,3,0
1447,310,5,8,13,4,0
1448,2473,5,7,15,4,0
1449,2509,4,6,11,1,0
1450,1967,2,2,14,2,0
1451,1013,5,7,NA,3,0
1452,864,5,7,13,3,0
1453,1643,5,7,9,3,0
1454,2500,4,6,2,4,0
1455,775,4,6,15,2,0
1456,359,5,7,15,3,0
1457,1198,4,3,17,1,0
1458,998,5,7,16,3,0
1459,457,5,7,13,3,0
1460,2670,5,7,2,3,0
1461,1315,5,7,8,2,0
1462,2304,3,8,6,2,0
1463,1763,2,5,15,2,0
1464,152,3,1,14,2,0
1465,2131,5,8,8,4,0
1466,1553,2,5,8,1,0
1467,1534,2,5,13,2,0
1468,2319,5,7,16,3,0
1469,1935,3,8,15,3,0
1470,388,4,6,7,1,0
1471,1186,2,5,13,4,0
1472,928,1,4,16,2,0
1473,48,4,3,16,2,0
1474,1064,3,8,6,4,0
1475,2163,5,7,8,2,0
1476,2453,3,8,5,3,0
1477,1038,2,5,15,4,0
1478,1020,5,7,8,4,0
1479,1708,4,6,5,2,0
1480,2067,2,5,18,4,0
1481,1322,4,3,17,3,2
1482,728,2,5,5,2,0
1483,671,2,5,10,2,0
1484,2052,4,3,16,4,0
1485,1225,1,4,NA,1,0
1486,1437,5,8,15,4,0
1487,1054,2,5,NA,2,2
1488,324,5,7,18,3,0
1489,308,3,6,14,4,0
1490,2579,2,5,18,2,0
1491,1913,2,5,13,4,0
1492,1618,5,7,13,3,0
1493,258,2,5,6,3,0
1494,74,2,5,8,4,0
1495,159,5,7,18,3,0
1496,987,3,1,3,1,0
1497,1503,3,1,14,2,0
1498,1022,3,8,7,1,0
1499,2246,2,5,12,2,0
1500,2656,4,6,17,1,0
1501,659,5,7,16,3,0
1502,2322,5,7,14,4,0
1503,517,2,5,15,4,0
1504,493,5,7,14,4,0
1505,2274,2,2,14,4,0
1506,1985,3,1,7,1,0
1507,2160,5,7,13,3,0
1508,1069,5,7,8,3,0
1509,1253,5,6,18,2,0
1510,1124,5,7,19,3,0
1511,1155,5,7,13,4,0
1512,437,4,6,16,2,0
1513,1281,2,5,7,2,0
1514,1680,2,5,13,2,0
1515,1204,5,7,8,4,0
1516,1697,5,8,13,3,0
1517,268,4,3,14,3,0
1518,2328,4,3,20,1,0
1519,870,2,5,13,2,0
1520,1240,5,7,8,2,0
1521,2618,4,8,13,2,0
1522,622,5,8,17,3,0
1523,769,5,7,18,4,0
1524,1432,4,6,NA,2,0
1525,2448,3,6,11,3,0
1526,748,5,7,15,3,0
1527,866,5,8,NA,1,0
1528,906,3,1,14,2,0
1529,773,1,4,NA,1,0
1530,1009,2,5,NA,2,0
1531,1464,5,7,8,1,0
1532,2552,5,7,15,3,0
1533,1332,5,7,8,1,0
1534,807,5,7,18,3,0
1535,679,5,8,NA,2,0
1536,1147,2,5,7,4,0
1537,1326,2,6,16,4,0
1538,895,5,7,12,3,0
1539,479,5,7,14,4,0
1540,1573,5,7,14,4,0
1541,1837,5,7,15,4,0
1542,1708,4,6,NA,2,0
1543,2398,3,8,6,4,0
1544,616,2,5,15,4,0
1545,1679,4,3,6,2,0
1546,1199,4,3,17,2,0
1547,2193,5,7,7,4,0
1548,131,5,8,NA,1,0
1549,1571,5,7,8,4,0
1550,439,5,8,14,1,0
1551,2431,5,7,11,4,0
1552,697,4,3,17,4,0
1553,1261,5,7,16,3,0
1554,1200,5,8,NA,1,0
1555,1557,2,5,5,4,0
1556,1137,3,1,13,1,0
1557,1169,5,7,1,3,0
1558,690,4,6,7,2,0
1559,676,5,7,9,2,0
1560,2303,4,6,14,2,0
1561,219,5,7,6,4,0
1562,811,5,7,8,3,0
1563,2134,5,7,7,3,0
1564,734,4,3,15,1,0
1565,644,5,7,9,2,0
1566,242,5,7,8,2,0
1567,468,5,7,16,3,0
1568,1306,4,3,9,1,0
1569,386,4,6,15,4,0
1570,1733,3,6,11,2,0
1571,615,2,5,18,2,0
1572,1628,2,5,12,2,0
1573,1434,5,7,6,4,0
1574,1049,2,5,18,2,0
1575,500,5,7,7,3,0
1576,1411,5,7,8,4,0
1577,477,5,7,9,3,0
1578,2418,5,7,13,3,0
1579,2178,5,7,16,2,0
1580,1355,5,7,16,3,0
1581,2113,1,4,NA,1,0
1582,2181,5,8,NA,1,0
1583,1711,3,6,11,3,0
1584,436,2,5,14,1,2
1585,1423,5,7,8,4,0
1586,2529,1,4,7,1,0
1587,1202,5,7,6,4,0
1588,872,5,7,15,4,0
1589,2615,5,7,13,3,0
1590,2540,5,7,14,2,0
1591,2271,3,6,3,3,0
1592,604,1,4,NA,1,0
1593,1090,2,6,18,4,0
1594,648,5,7,18,3,0
1595,2646,2,5,11,1,0
1596,2016,1,4,NA,3,0
1597,439,5,8,NA,1,0
1598,1966,5,7,8,2,0
1599,1473,5,7,13,3,0
1600,1010,5,6,11,2,0
1601,2405,5,7,8,3,0
1602,1851,4,3,16,2,0
1603,2449,5,7,15,3,0
1604,2222,5,7,15,3,0
1605,903,3,6,17,1,0
1606,266,2,5,13,1,0
1607,1683,5,7,18,4,0
1608,2476,3,1,9,1,0
1609,1767,4,6,10,2,0
1610,1443,2,5,6,4,0
1611,2005,5,7,15,3,0
1612,1049,2,5,NA,2,0
1613,661,4,3,13,1,0
1614,495,2,5,14,2,0
1615,86,5,7,5,3,0
1616,2605,5,7,16,3,0
1617,2264,5,7,7,3,0
1618,1163,5,7,13,3,0
1619,2429,5,7,18,3,0
1620,144,3,1,6,2,0
1621,730,2,5,16,2,0
1622,1342,2,5,15,1,0
1623,1830,5,7,15,3,0
1624,2426,4,3,20,1,0
1625,1671,5,7,7,3,0
1626,1337,2,5,18,2,0
1627,2366,3,1,16,1,0
1628,1982,5,7,18,4,0
1629,49,4,3,18,3,0
1630,176,5,7,18,3,0
1631,1646,5,7,18,3,0
1632,2019,5,7,18,4,0
1633,1454,2,5,18,1,0
1634,2122,2,5,17,2,0
1635,2512,2,5,15,2,0
1636,839,5,7,7,2,0
1637,2594,5,7,13,3,0
1638,897,2,5,17,4,0
1639,2413,4,3,8,4,0
1640,1193,2,5,7,3,0
1641,555,5,8,13,3,0
1642,2387,2,5,17,2,0
1643,2149,5,7,8,3,0
1644,343,5,7,16,3,0
1645,1521,5,7,15,4,0
1646,2378,2,2,14,2,0
1647,34,4,3,18,2,0
1648,2601,2,5,15,2,0
1649,1451,5,7,14,3,0
1650,2667,3,6,17,1,0
1651,1531,5,8,15,2,0
1652,2399,3,6,14,3,0
1653,2325,5,7,7,3,0
1654,42,5,7,8,2,0
1655,952,2,5,14,2,0
1656,2313,2,5,18,4,0
1657,2334,2,8,18,2,0
1658,313,5,6,17,2,0
1659,1590,5,7,18,3,0
1660,1725,2,5,12,4,0
1661,327,4,6,5,1,0
1662,270,5,7,3,3,0
1663,2305,5,7,8,3,0
1664,2169,2,5,18,2,0
1665,400,5,7,18,3,0
1666,591,2,5,18,1,0
1667,1063,3,8,11,3,0
1668,2081,5,7,18,2,0
1669,1243,5,7,18,3,0
1670,344,5,7,15,4,0
1671,394,5,7,13,4,0
1672,155,5,7,20,2,0
1673,1091,5,7,9,4,0
1674,1977,5,7,18,3,0
1675,1153,5,7,NA,3,0
1676,1814,2,5,8,2,0
1677,1973,5,7,18,4,0
1678,1329,1,4,7,2,0
1679,233,5,8,15,2,0
1680,1610,5,7,3,2,0
1681,6,5,7,6,3,0
1682,609,5,7,18,3,0
1683,1761,4,6,17,1,0
1684,2324,5,7,18,4,0
1685,1466,5,7,6,3,0
1686,654,1,4,7,1,0
1687,2619,3,6,17,1,0
1688,1608,4,3,17,2,0
1689,603,5,7,13,3,0
1690,2144,5,7,0,3,0
1691,1654,3,8,13,1,0
1692,777,5,7,8,3,0
1693,1263,5,7,14,3,0
1694,2421,5,7,8,2,0
1695,2430,5,7,8,3,0
1696,1170,5,8,13,4,0
1697,1264,5,7,8,3,0
1698,1471,4,6,NA,1,0
1699,1378,1,4,NA,1,0
1700,1483,5,7,8,3,0
1701,2039,2,1,15,1,0
1702,1729,2,5,7,1,0
1703,1188,5,7,5,3,0
1704,1217,5,7,8,2,0
1705,2173,3,6,17,1,0
1706,431,5,7,18,4,0
1707,1302,5,6,17,1,0
1708,2410,5,7,18,3,0
1709,1500,2,5,NA,1,0
1710,1130,2,5,18,2,0
1711,360,5,7,8,3,0
1712,1544,5,7,13,3,0
1713,2678,4,8,12,4,0
1714,402,5,7,12,3,0
1715,2589,4,6,10,2,0
1716,1510,5,8,NA,1,0
1717,681,5,6,19,4,0
1718,2176,2,6,7,1,0
1719,538,5,7,NA,3,0
1720,1041,4,3,15,1,0
1721,148,5,7,18,3,0
1722,2585,4,6,5,1,0
1723,2450,3,8,10,4,0
1724,1684,5,7,3,3,0
1725,1506,4,3,20,1,0
1726,1793,5,7,NA,3,0
1727,1952,5,8,18,4,0
1728,605,5,7,6,4,0
1729,1714,5,8,15,2,0
1730,1820,2,5,18,1,0
1731,519,5,8,13,3,0
1732,257,5,8,13,3,0
1733,1251,2,2,14,4,0
1734,2556,2,6,18,4,0
1735,985,2,5,14,2,0
1736,163,2,5,19,2,0
1737,1222,2,5,18,4,0
1738,1107,2,6,19,2,0
1739,253,2,8,18,2,0
1740,76,5,7,7,3,0
1741,579,2,2,NA,4,0
1742,1379,2,5,15,2,0
1743,1006,3,8,11,1,0
1744,1415,3,8,9,4,0
1745,10,5,7,16,4,0
1746,1673,2,5,18,1,0
1747,518,3,8,14,2,0
1748,1654,3,8,NA,1,0
1749,2249,5,7,15,3,0
1750,214,5,7,18,4,0
1751,901,5,7,15,3,0
1752,701,5,7,17,3,0
1753,687,5,7,9,3,0
1754,196,2,6,18,4,0
1755,742,5,7,18,3,0
1756,683,5,7,18,2,0
1757,549,5,7,8,4,0
1758,2678,4,8,NA,4,0
1759,132,5,7,15,3,0
1760,1812,3,6,17,1,0
1761,524,5,7,8,3,0
1762,574,2,5,15,1,0
1763,1401,3,1,9,2,0
1764,739,3,8,7,2,0
1765,1881,5,7,6,4,0
1766,2652,3,1,15,2,0
1767,930,1,4,NA,1,0
1768,1770,5,7,13,3,0
1769,2240,4,6,17,1,0
1770,1179,2,4,11,4,0
1771,133,5,7,16,4,0
1772,2440,5,7,12,2,0
1773,2239,5,7,8,3,0
1774,215,5,7,6,4,0
1775,2263,4,3,19,3,0
1776,411,5,8,7,1,0
1777,2155,3,1,15,2,0
1778,320,5,7,18,4,0
1779,546,5,6,16,1,0
1780,230,4,3,16,2,0
1781,14,2,5,17,4,0
1782,1055,3,8,9,2,0
1783,1159,3,6,14,2,0
1784,497,5,7,18,3,0
1785,2064,2,5,15,2,0
1786,1218,5,7,20,2,0
1787,29,1,4,14,3,0
1788,2152,2,5,12,4,0
1789,879,5,8,7,1,0
1790,2302,4,3,9,2,0
1791,2170,4,8,13,4,0
1792,1271,5,7,14,4,0
1793,69,5,8,NA,2,0
1794,1771,5,8,17,2,0
1795,951,2,5,17,2,0
1796,2560,5,8,13,3,0
1797,501,5,7,6,3,0
1798,373,2,5,4,3,0
1799,1102,1,4,NA,1,0
1800,1748,4,3,6,2,0
1801,2545,2,5,17,4,0
1802,2576,5,7,15,3,0
1803,1963,5,7,17,3,0
1804,862,2,5,20,2,0
1805,1162,2,5,NA,2,0
1806,520,2,6,14,4,0
1807,599,3,8,14,2,0
1808,797,4,3,20,1,0
1809,208,4,3,16,2,0
1810,2323,3,6,11,4,0
1811,1139,5,7,13,3,0
1812,1810,5,7,18,4,0
1813,2296,4,6,NA,2,0
1814,2165,3,1,16,4,0
1815,936,5,7,13,4,0
1816,977,4,3,16,2,0
1817,510,5,7,17,3,0
1818,2340,5,7,12,3,0
1819,1120,2,5,18,3,0
1820,72,4,3,17,4,0
1821,1324,5,7,8,3,0
1822,1127,5,7,15,3,0
1823,287,4,6,NA,1,0
1824,333,4,3,18,3,0
1825,1520,3,1,3,1,0
1826,685,5,7,13,3,0
1827,913,3,1,16,2,0
1828,577,5,7,13,4,0
